OI	Chng in OI	Volume	IV	LTP	Chng	Bid Qty	Bid	Ask	Ask Qty	Strike	Bid Qty	Bid	Ask	Ask Qty	Chng	LTP	IV	Volume	Chng in OI	OI
Calls chart for row 1	2	1	10	48.42	2,074.40	-239.05	65	2,003.40	2,018.30	65	21,200.00	3,37,675	1.40	1.45	7,22,345	-0.55	1.45	30.99	1,70,271	12,500	1,45,338	Puts chart for row 1
Calls chart for row 2	1	-	-	34.66	-	-	780	1,887.55	2,133.50	780	21,250.00	21,970	1.35	1.40	10,270	-0.65	1.40	30.16	25,995	1,119	6,766	Puts chart for row 2
Calls chart for row 3	1	-	-	34.69	-	-	780	1,820.10	1,980.95	780	21,300.00	29,055	1.40	1.45	49,985	-0.70	1.40	29.57	37,666	516	21,723	Puts chart for row 3
Calls chart for row 4	1	-	-	31.47	-	-	780	1,821.40	1,908.65	780	21,350.00	22,490	1.40	1.45	12,025	-0.70	1.45	28.86	13,135	135	1,231	Puts chart for row 4
Calls chart for row 5	2	-	-	59.41	-	-	780	1,765.30	1,902.95	780	21,400.00	57,395	1.40	1.45	37,765	-0.75	1.45	28.27	33,303	1,046	15,561	Puts chart for row 5
Calls chart for row 6	1	-	-	32.84	-	-	780	1,720.70	1,812.75	780	21,450.00	29,640	1.40	1.45	9,360	-0.85	1.45	27.56	16,581	736	2,057	Puts chart for row 6
Calls chart for row 7	19	-	-	64.53	-	-	780	1,669.90	1,781.75	780	21,500.00	3,79,015	1.50	1.55	1,30,975	-0.80	1.55	27.06	1,35,273	16,065	62,682	Puts chart for row 7
Calls chart for row 8	1	-	-	31.53	-	-	780	1,594.40	1,726.05	780	21,550.00	23,010	1.55	1.60	11,505	-0.85	1.55	26.44	16,739	373	1,793	Puts chart for row 8
Calls chart for row 9	1	-	-	30.95	-	-	780	1,577.30	1,638.80	780	21,600.00	46,345	1.60	1.65	33,800	-0.90	1.60	25.72	42,234	1,889	12,939	Puts chart for row 9
Calls chart for row 10	1	-	-	-	-	-	780	1,520.15	1,613.90	780	21,650.00	25,545	1.60	1.70	20,085	-0.90	1.65	25.01	19,882	520	2,509	Puts chart for row 10
Calls chart for row 11	1	-	-	27.19	-	-	780	1,466.35	1,563.20	780	21,700.00	33,150	1.60	1.65	38,025	-1.05	1.60	24.38	75,366	3,880	15,208	Puts chart for row 11
Calls chart for row 12	1	-	-	27.29	-	-	780	1,438.15	1,512.10	2,535	21,750.00	20,865	1.70	1.75	33,865	-1.05	1.75	23.75	30,206	702	4,892	Puts chart for row 12
Calls chart for row 13	1	-	-	26.09	-	-	2,535	1,378.35	1,449.45	780	21,800.00	2,48,690	1.80	1.85	90,480	-1.15	1.85	23.34	1,03,540	-946	39,598	Puts chart for row 13
Calls chart for row 14	1	-	-	25.58	-	-	2,535	1,321.45	1,416.60	2,535	21,850.00	36,075	1.90	1.95	20,670	-1.15	1.95	22.68	36,298	133	2,871	Puts chart for row 14
Calls chart for row 15	3	-	-	50.05	-	-	780	1,290.80	1,365.80	2,535	21,900.00	1,89,930	2.05	2.10	2,09,885	-1.20	2.05	22.16	1,09,137	810	15,991	Puts chart for row 15
Calls chart for row 16	1	-	-	27.20	-	-	2,535	1,229.15	1,311.15	2,535	21,950.00	27,690	2.20	2.25	40,040	-1.30	2.20	21.55	36,808	611	5,157	Puts chart for row 16
Calls chart for row 17	796	-5	329	-	1,217.15	-7.20	130	1,213.05	1,219.30	65	22,000.00	2,89,640	2.45	2.50	1,52,360	-1.30	2.50	21.10	3,91,983	7,032	1,16,267	Puts chart for row 17
Calls chart for row 18	2	-1	3	-	1,151.60	-196.80	65	1,161.55	1,175.05	65	22,050.00	24,830	2.60	2.65	33,345	-1.40	2.60	20.51	49,782	85	6,473	Puts chart for row 18
Calls chart for row 19	7	-	5	22.79	1,155.00	71.15	195	1,111.15	1,122.00	65	22,100.00	2,00,655	2.70	2.75	1,78,945	-1.45	2.70	19.86	2,03,950	4,007	33,806	Puts chart for row 19
Calls chart for row 20	4	1	2	-	1,048.00	-153.80	65	1,063.40	1,072.45	65	22,150.00	49,920	2.95	3.00	24,050	-1.55	3.00	19.33	83,055	3,755	13,425	Puts chart for row 20
Calls chart for row 21	35	7	67	-	1,019.15	-13.55	130	1,013.90	1,021.80	195	22,200.00	43,810	3.25	3.30	8,255	-1.80	3.30	18.82	2,50,173	3,199	39,224	Puts chart for row 21
